,director_name,genres,movie_title,ratings,actors,combine
3130,David Cronenberg,Horror Sci-Fi Thriller,the dead zone,7.2,Tom Skerritt Herbert Lom Anthony Zerbe,David Cronenberg Horror Sci-Fi Thriller the dead zone Tom Skerritt Herbert Lom Anthony Zerbe
3131,Ciarán Foy,Horror Mystery Thriller,sinister 2,5.2,Laila Haley James Ransone Jaden Klein,Ciarán Foy Horror Mystery Thriller sinister 2 Laila Haley James Ransone Jaden Klein
3132,Salim Akil,Drama Music,sparkle,5.7,Omari Hardwick Curtis Armstrong Mike Epps,Salim Akil Drama Music sparkle Omari Hardwick Curtis Armstrong Mike Epps
3133,Jamie Blanks,Horror Mystery Thriller,valentine,4.7,Marley Shelton Jessica Capshaw Johnny Whitworth,Jamie Blanks Horror Mystery Thriller valentine Marley Shelton Jessica Capshaw Johnny Whitworth
3134,Olatunde Osunsanmi,Mystery Sci-Fi Thriller,the fourth kind,5.9,Milla Jovovich Will Patton Hakeem Kae-Kazim,Olatunde Osunsanmi Mystery Sci-Fi Thriller the fourth kind Milla Jovovich Will Patton Hakeem Kae-Kazim
3135,Robert Altman,Comedy Drama Music,a prairie home companion,6.8,Meryl Streep Virginia Madsen Lily Tomlin,Robert Altman Comedy Drama Music a prairie home companion Meryl Streep Virginia Madsen Lily Tomlin
3136,Leon Ichaso,Drama Thriller,sugar hill,5.9,Khandi Alexander Clarence Williams III Steve Harris,Leon Ichaso Drama Thriller sugar hill Khandi Alexander Clarence Williams III Steve Harris
3137,Joseph Zito,Action Thriller,invasion u.s.a.,5.3,Billy Drago Richard Lynch Eddie Jones,Joseph Zito Action Thriller invasion u.s.a. Billy Drago Richard Lynch Eddie Jones
3138,Malcolm D. Lee,Comedy Drama Music Romance,roll bounce,6.0,Jurnee Smollett-Bell Brandon T. Jackson Shad Moss,Malcolm D. Lee Comedy Drama Music Romance roll bounce Jurnee Smollett-Bell Brandon T. Jackson Shad Moss
3139,Wes Anderson,Comedy Drama,rushmore,7.7,Bill Murray Connie Nielsen Olivia Williams,Wes Anderson Comedy Drama rushmore Bill Murray Connie Nielsen Olivia Williams
3140,Colin Strause,Action Sci-Fi Thriller,skyline,4.4,David Zayas Donald Faison Brittany Daniel,Colin Strause Action Sci-Fi Thriller skyline David Zayas Donald Faison Brittany Daniel
3141,John Madden,Comedy Drama,the second best exotic marigold hotel,6.6,Tina Desai Celia Imrie Ronald Pickup,John Madden Comedy Drama the second best exotic marigold hotel Tina Desai Celia Imrie Ronald Pickup
3142,Patricia Rozema,Drama Family,kit kittredge: an american girl,6.7,Julia Ormond Jane Krakowski Willow Smith,Patricia Rozema Drama Family kit kittredge: an american girl Julia Ormond Jane Krakowski Willow Smith
3143,Mark Rosman,Comedy Family Romance,the perfect man,5.5,Ben Feldman Chris Noth Vanessa Lengies,Mark Rosman Comedy Family Romance the perfect man Ben Feldman Chris Noth Vanessa Lengies
3144,Spike Lee,Drama Music Romance,mo' better blues,6.5,Denzel Washington Nicholas Turturro Charlie Murphy,Spike Lee Drama Music Romance mo' better blues Denzel Washington Nicholas Turturro Charlie Murphy
3145,Steve Oedekerk,Action Comedy,kung pow: enter the fist,6.2,Steve Oedekerk Simon Rhee Jennifer Tung,Steve Oedekerk Action Comedy kung pow: enter the fist Steve Oedekerk Simon Rhee Jennifer Tung
3146,Ron Underwood,Comedy Horror Sci-Fi,tremors,7.1,Reba McEntire Ariana Richards Michael Gross,Ron Underwood Comedy Horror Sci-Fi tremors Reba McEntire Ariana Richards Michael Gross
3147,Rob Schmidt,Horror Thriller,wrong turn,6.1,Kevin Zegers Lindy Booth Julian Richings,Rob Schmidt Horror Thriller wrong turn Kevin Zegers Lindy Booth Julian Richings
3148,Walter Hill,Western,the long riders,7.1,Dennis Quaid David Carradine Randy Quaid,Walter Hill Western the long riders Dennis Quaid David Carradine Randy Quaid
3149,James Foley,Action Crime Drama Mystery Thriller,the corruptor,6.0,Byron Mann Paul Ben-Victor Kim Chan,James Foley Action Crime Drama Mystery Thriller the corruptor Byron Mann Paul Ben-Victor Kim Chan
3150,Jeff Nichols,Drama,mud,7.4,Matthew McConaughey Tye Sheridan Sam Shepard,Jeff Nichols Drama mud Matthew McConaughey Tye Sheridan Sam Shepard
3151,Robert Ben Garant,Comedy Crime,reno 911!: miami,5.9,Wendi McLendon-Covey Thomas Lennon Carlos Alazraqui,Robert Ben Garant Comedy Crime reno 911!: miami Wendi McLendon-Covey Thomas Lennon Carlos Alazraqui
3152,Morgan Spurlock,Documentary Music,one direction: this is us,4.1,Harry Styles Zayn Malik Niall Horan,Morgan Spurlock Documentary Music one direction: this is us Harry Styles Zayn Malik Niall Horan
3153,Neal Brennan,Comedy,"the goods: live hard, sell hard",5.8,Rob Riggle Noureen DeWulf Charles Napier,"Neal Brennan Comedy the goods: live hard, sell hard Rob Riggle Noureen DeWulf Charles Napier"
3154,Tuck Tucker,Adventure Animation Comedy Family,hey arnold! the movie,5.9,Jennifer Jason Leigh Vincent Schiavelli Paul Sorvino,Tuck Tucker Adventure Animation Comedy Family hey arnold! the movie Jennifer Jason Leigh Vincent Schiavelli Paul Sorvino
3155,Simon Curtis,Biography Drama,my week with marilyn,7.0,Eddie Redmayne Toby Jones Julia Ormond,Simon Curtis Biography Drama my week with marilyn Eddie Redmayne Toby Jones Julia Ormond
3156,Richard Shepard,Comedy Crime Drama Thriller,the matador,6.8,Adam Scott Philip Baker Hall Hope Davis,Richard Shepard Comedy Crime Drama Thriller the matador Adam Scott Philip Baker Hall Hope Davis
3157,Theodore Witcher,Drama Romance,love jones,7.4,Leonard Roberts Nia Long Larenz Tate,Theodore Witcher Drama Romance love jones Leonard Roberts Nia Long Larenz Tate
3159,Jim Hanon,Adventure Drama,end of the spear,7.0,Chase Ellison Chad Allen Jack Guzman,Jim Hanon Adventure Drama end of the spear Chase Ellison Chad Allen Jack Guzman
3160,Tommy O'Haver,Comedy Romance,get over it,5.8,Mila Kunis Kirsten Dunst Carmen Electra,Tommy O'Haver Comedy Romance get over it Mila Kunis Kirsten Dunst Carmen Electra
3161,Mike Judge,Comedy,office space,7.8,Gary Cole Stephen Root Diedrich Bader,Mike Judge Comedy office space Gary Cole Stephen Root Diedrich Bader
3162,Michael Patrick Jann,Comedy Romance Thriller,drop dead gorgeous,6.5,Kirsten Dunst Kirstie Alley Ellen Barkin,Michael Patrick Jann Comedy Romance Thriller drop dead gorgeous Kirsten Dunst Kirstie Alley Ellen Barkin
3163,Tim Burton,Biography Crime Drama Romance,big eyes,7.0,Christoph Waltz Danny Huston Jon Polito,Tim Burton Biography Crime Drama Romance big eyes Christoph Waltz Danny Huston Jon Polito
3164,Peter Berg,Comedy Crime Thriller,very bad things,6.3,Jon Favreau Daniel Stern Jeanne Tripplehorn,Peter Berg Comedy Crime Thriller very bad things Jon Favreau Daniel Stern Jeanne Tripplehorn
3165,Joe Nussbaum,Comedy Romance,sleepover,5.3,Steve Carell Alexa PenaVega Hunter Parrish,Joe Nussbaum Comedy Romance sleepover Steve Carell Alexa PenaVega Hunter Parrish
3166,Brian De Palma,Mystery Thriller,body double,6.8,Melanie Griffith Dennis Franz Gregg Henry,Brian De Palma Mystery Thriller body double Melanie Griffith Dennis Franz Gregg Henry
3167,Jorma Taccone,Action Comedy Romance,macgruber,5.5,Jasper Cole Will Forte Powers Boothe,Jorma Taccone Action Comedy Romance macgruber Jasper Cole Will Forte Powers Boothe
3168,Stephen Frears,Crime Drama Thriller,dirty pretty things,7.4,Sophie Okonedo Benedict Wong Sergi López,Stephen Frears Crime Drama Thriller dirty pretty things Sophie Okonedo Benedict Wong Sergi López
3169,Elizabeth Banks,Comedy,movie 43,4.3,Hugh Jackman Kate Winslet Seth MacFarlane,Elizabeth Banks Comedy movie 43 Hugh Jackman Kate Winslet Seth MacFarlane
3170,Florian Henckel von Donnersmarck,Action Romance Thriller,the tourist,6.0,Johnny Depp Angelina Jolie Pitt Rufus Sewell,Florian Henckel von Donnersmarck Action Romance Thriller the tourist Johnny Depp Angelina Jolie Pitt Rufus Sewell
3171,Jeff Lowell,Comedy Fantasy Romance,over her dead body,5.2,Stephen Root William Morgan Sheppard Wendi McLendon-Covey,Jeff Lowell Comedy Fantasy Romance over her dead body Stephen Root William Morgan Sheppard Wendi McLendon-Covey
3172,Lorene Scafaria,Adventure Comedy Drama Romance Sci-Fi,seeking a friend for the end of the world,6.7,Steve Carell Mark Moses Rob Huebel,Lorene Scafaria Adventure Comedy Drama Romance Sci-Fi seeking a friend for the end of the world Steve Carell Mark Moses Rob Huebel
3173,Miguel Arteta,Comedy,cedar rapids,6.3,Kurtwood Smith Stephen Root Alia Shawkat,Miguel Arteta Comedy cedar rapids Kurtwood Smith Stephen Root Alia Shawkat
3174,Unknown,Comedy Crime Drama Mystery Romance,bones            ,7.9,Michaela Conlin T.J. Thyne Tamara Taylor,Unknown Comedy Crime Drama Mystery Romance bones             Michaela Conlin T.J. Thyne Tamara Taylor
3175,Tony Kaye,Crime Drama,american history x,8.6,Ethan Suplee Beverly D'Angelo Stacy Keach,Tony Kaye Crime Drama american history x Ethan Suplee Beverly D'Angelo Stacy Keach
3176,Marcus Dunstan,Action Horror Thriller,the collection,6.1,Daniel Sharman Johanna Braddy Lee Tergesen,Marcus Dunstan Action Horror Thriller the collection Daniel Sharman Johanna Braddy Lee Tergesen
3177,Timothy Björklund,Animation Comedy Family Fantasy Musical,teacher's pet,5.8,Nathan Lane Kelsey Grammer Jerry Stiller,Timothy Björklund Animation Comedy Family Fantasy Musical teacher's pet Nathan Lane Kelsey Grammer Jerry Stiller
3178,François Girard,Drama Music Mystery Romance,the red violin,7.7,Johannes Silberschneider Clotilde Mollet Carlo Cecchi,François Girard Drama Music Mystery Romance the red violin Johannes Silberschneider Clotilde Mollet Carlo Cecchi
3179,David Lynch,Biography Drama,the straight story,8.0,Sissy Spacek Richard Farnsworth Everett McGill,David Lynch Biography Drama the straight story Sissy Spacek Richard Farnsworth Everett McGill
3180,Scott Kalvert,Action Crime Drama,deuces wild,5.6,Norman Reedus James Franco Frankie Muniz,Scott Kalvert Action Crime Drama deuces wild Norman Reedus James Franco Frankie Muniz
3181,Jason Bateman,Comedy Drama,bad words,6.7,Beth Grant Philip Baker Hall Patricia Belcher,Jason Bateman Comedy Drama bad words Beth Grant Philip Baker Hall Patricia Belcher
3182,David Schwimmer,Comedy Romance Sport,"run, fatboy, run",6.6,Dylan Moran Iddo Goldberg India de Beaufort,"David Schwimmer Comedy Romance Sport run, fatboy, run Dylan Moran Iddo Goldberg India de Beaufort"
3183,Allan Arkush,Comedy Sci-Fi,heartbeeps,4.2,Bernadette Peters Randy Quaid Christopher Guest,Allan Arkush Comedy Sci-Fi heartbeeps Bernadette Peters Randy Quaid Christopher Guest
3184,Mike Binder,Drama,black or white,6.6,Jennifer Ehle Gillian Jacobs Jillian Estell,Mike Binder Drama black or white Jennifer Ehle Gillian Jacobs Jillian Estell
3185,Eric Bross,Comedy Family Romance,on the line,4.1,Jerry Stiller Tamala Jones Dave Foley,Eric Bross Comedy Family Romance on the line Jerry Stiller Tamala Jones Dave Foley
3186,Werner Herzog,Adventure Biography Drama War,rescue dawn,7.3,Christian Bale Toby Huss François Chau,Werner Herzog Adventure Biography Drama War rescue dawn Christian Bale Toby Huss François Chau
3187,Dan Fogelman,Comedy Drama Music,danny collins,7.1,Al Pacino Jennifer Garner Melissa Benoist,Dan Fogelman Comedy Drama Music danny collins Al Pacino Jennifer Garner Melissa Benoist
3188,Jay Duplass,Comedy Drama,"jeff, who lives at home",6.5,Judy Greer Evan Ross Rae Dawn Chong,"Jay Duplass Comedy Drama jeff, who lives at home Judy Greer Evan Ross Rae Dawn Chong"
3189,Luca Guadagnino,Drama Romance,i am love,7.0,Flavio Parenti Waris Ahluwalia Alba Rohrwacher,Luca Guadagnino Drama Romance i am love Flavio Parenti Waris Ahluwalia Alba Rohrwacher
3190,John Putch,Drama Mystery Sci-Fi,atlas shrugged ii: the strike,5.5,Robert Picardo Diedrich Bader Esai Morales,John Putch Drama Mystery Sci-Fi atlas shrugged ii: the strike Robert Picardo Diedrich Bader Esai Morales
3191,Peter Medak,Action Crime Drama Thriller,romeo is bleeding,6.6,Gary Oldman Michael Wincott Lena Olin,Peter Medak Action Crime Drama Thriller romeo is bleeding Gary Oldman Michael Wincott Lena Olin
3192,Steven Soderbergh,Crime Drama Mystery Thriller,the limey,7.1,Peter Fonda Lesley Ann Warren William Lucking,Steven Soderbergh Crime Drama Mystery Thriller the limey Peter Fonda Lesley Ann Warren William Lucking
3194,Terence Davies,Drama Romance,the house of mirth,7.1,Eric Stoltz Anthony LaPaglia Elizabeth McGovern,Terence Davies Drama Romance the house of mirth Eric Stoltz Anthony LaPaglia Elizabeth McGovern
3195,Harley Cokeliss,Action Drama Thriller,malone,5.6,Cliff Robertson Tracey Walter Dennis Burkley,Harley Cokeliss Action Drama Thriller malone Cliff Robertson Tracey Walter Dennis Burkley
3196,Victor Salva,Drama Romance Sport,peaceful warrior,7.3,Scott Mechlowicz Tim DeKay Agnes Bruckner,Victor Salva Drama Romance Sport peaceful warrior Scott Mechlowicz Tim DeKay Agnes Bruckner
3197,Tom Brady,Comedy,bucky larson: born to be a star,3.3,Don Johnson Kevin Nealon Nicholas Turturro,Tom Brady Comedy bucky larson: born to be a star Don Johnson Kevin Nealon Nicholas Turturro
3198,Spike Lee,Comedy Drama Music,bamboozled,6.5,Gillian White Michael Rapaport Jada Pinkett Smith,Spike Lee Comedy Drama Music bamboozled Gillian White Michael Rapaport Jada Pinkett Smith
3199,Jason Zada,Horror Mystery Thriller,the forest,4.8,Eoin Macken Stephanie Vogt Gen Seto,Jason Zada Horror Mystery Thriller the forest Eoin Macken Stephanie Vogt Gen Seto
3200,Franklin J. Schaffner,Adventure Mystery Thriller,sphinx,5.2,Frank Langella William Hootkins John Gielgud,Franklin J. Schaffner Adventure Mystery Thriller sphinx Frank Langella William Hootkins John Gielgud
3201,Noah Baumbach,Comedy Drama,while we're young,6.3,Naomi Watts Maria Dizzia Dree Hemingway,Noah Baumbach Comedy Drama while we're young Naomi Watts Maria Dizzia Dree Hemingway
3202,Chris Weitz,Drama Romance,a better life,7.2,Demián Bichir Eddie 'Piolin' Sotelo Robert Peters,Chris Weitz Drama Romance a better life Demián Bichir Eddie 'Piolin' Sotelo Robert Peters
3203,David Cronenberg,Drama Mystery Thriller,spider,6.8,Miranda Richardson John Neville Lynn Redgrave,David Cronenberg Drama Mystery Thriller spider Miranda Richardson John Neville Lynn Redgrave
3204,Eric Blakeney,Comedy Crime Romance,gun shy,5.7,Liam Neeson Oliver Platt Mitch Pileggi,Eric Blakeney Comedy Crime Romance gun shy Liam Neeson Oliver Platt Mitch Pileggi
3205,Douglas McGrath,Drama Romance,nicholas nickleby,7.2,Charlie Hunnam Anne Hathaway Jim Broadbent,Douglas McGrath Drama Romance nicholas nickleby Charlie Hunnam Anne Hathaway Jim Broadbent
3206,Ariel Vromen,Biography Crime Drama,the iceman,6.9,Chris Evans James Franco Robert Davi,Ariel Vromen Biography Crime Drama the iceman Chris Evans James Franco Robert Davi
3207,Unknown,Drama,dekalog            ,9.1,Krystyna Janda Olaf Lubaszenko Olgierd Lukaszewicz,Unknown Drama dekalog             Krystyna Janda Olaf Lubaszenko Olgierd Lukaszewicz
3208,Rakesh Roshan,Action Adventure Romance Sci-Fi,krrish,6.3,Naseeruddin Shah Rekha Sharat Saxena,Rakesh Roshan Action Adventure Romance Sci-Fi krrish Naseeruddin Shah Rekha Sharat Saxena
3209,John Waters,Comedy Crime Thriller,cecil b. demented,6.2,Alicia Witt Melanie Griffith Kevin Nealon,John Waters Comedy Crime Thriller cecil b. demented Alicia Witt Melanie Griffith Kevin Nealon
3210,William Friedkin,Crime Drama Romance Thriller,killer joe,6.7,Matthew McConaughey Scott A. Martin Carol Sutton,William Friedkin Crime Drama Romance Thriller killer joe Matthew McConaughey Scott A. Martin Carol Sutton
3211,Derrick Borte,Comedy Drama,the joneses,6.5,Demi Moore Gary Cole Robert Pralgo,Derrick Borte Comedy Drama the joneses Demi Moore Gary Cole Robert Pralgo
3212,Richard Kwietniowski,Crime Drama Thriller,owning mahowny,7.2,Philip Seymour Hoffman Minnie Driver Maury Chaykin,Richard Kwietniowski Crime Drama Thriller owning mahowny Philip Seymour Hoffman Minnie Driver Maury Chaykin
3213,Bob Odenkirk,Comedy,the brothers solomon,5.3,Jenna Fischer Lee Majors Will Forte,Bob Odenkirk Comedy the brothers solomon Jenna Fischer Lee Majors Will Forte
3214,Kar-Wai Wong,Drama Romance,my blueberry nights,6.7,Natalie Portman Norah Jones Adriane Lenox,Kar-Wai Wong Drama Romance my blueberry nights Natalie Portman Norah Jones Adriane Lenox
3215,John Turturro,Drama,illuminata,6.2,Beverly D'Angelo Ben Gazzara George DiCenzo,John Turturro Drama illuminata Beverly D'Angelo Ben Gazzara George DiCenzo
3216,Guy Ritchie,Comedy Romance,swept away,3.6,Bruce Greenwood Jeanne Tripplehorn David Thornton,Guy Ritchie Comedy Romance swept away Bruce Greenwood Jeanne Tripplehorn David Thornton
3217,Joshua Seftel,Action Comedy Thriller,"war, inc.",5.7,Bashar Rahal Sergej Trifunovic Ned Bellamy,"Joshua Seftel Action Comedy Thriller war, inc. Bashar Rahal Sergej Trifunovic Ned Bellamy"
3218,Stephen Chow,Action Comedy Sport,shaolin soccer,7.3,Wei Zhao Karen Mok Kwok-Kwan Chan,Stephen Chow Action Comedy Sport shaolin soccer Wei Zhao Karen Mok Kwok-Kwan Chan
3219,Vincent Gallo,Drama,the brown bunny,5.0,Vincent Gallo Cheryl Tiegs Anna Vareschi,Vincent Gallo Drama the brown bunny Vincent Gallo Cheryl Tiegs Anna Vareschi
3220,Claude Chabrol,Comedy Crime Thriller,the swindle,6.6,Isabelle Huppert François Cluzet Michel Serrault,Claude Chabrol Comedy Crime Thriller the swindle Isabelle Huppert François Cluzet Michel Serrault
3221,Jon Stewart,Biography Drama,rosewater,6.6,Numan Acar Claire Foy Haluk Bilginer,Jon Stewart Biography Drama rosewater Numan Acar Claire Foy Haluk Bilginer
3222,Bigas Luna,Drama Romance,the chambermaid on the titanic,6.8,Olivier Martinez Aitana Sánchez-Gijón Romane Bohringer,Bigas Luna Drama Romance the chambermaid on the titanic Olivier Martinez Aitana Sánchez-Gijón Romane Bohringer
3223,Ralph Fiennes,Drama Thriller War,coriolanus,6.2,Gerard Butler Ashraf Barhom Lubna Azabal,Ralph Fiennes Drama Thriller War coriolanus Gerard Butler Ashraf Barhom Lubna Azabal
3224,Dan Harris,Comedy Drama,imaginary heroes,7.3,Kip Pardue Ryan Donowho Larry Fessenden,Dan Harris Comedy Drama imaginary heroes Kip Pardue Ryan Donowho Larry Fessenden
3225,Mel Smith,Action Comedy Drama,high heels and low lifes,6.2,Minnie Driver Danny Dyer Mary McCormack,Mel Smith Action Comedy Drama high heels and low lifes Minnie Driver Danny Dyer Mary McCormack
3226,Bobcat Goldthwait,Comedy Drama,world's greatest dad,6.9,Robin Williams Daryl Sabara Henry Simmons,Bobcat Goldthwait Comedy Drama world's greatest dad Robin Williams Daryl Sabara Henry Simmons
3227,Christopher Smith,Comedy Horror Thriller,severance,6.6,Danny Dyer Toby Stephens Laura Harris,Christopher Smith Comedy Horror Thriller severance Danny Dyer Toby Stephens Laura Harris
3228,Stuart Gordon,Drama Thriller,edmond,6.3,Joe Mantegna Dulé Hill Jeffrey Combs,Stuart Gordon Drama Thriller edmond Joe Mantegna Dulé Hill Jeffrey Combs
3229,Jake Scott,Drama,welcome to the rileys,7.0,Kristen Stewart Ally Sheedy Kerry Cahill,Jake Scott Drama welcome to the rileys Kristen Stewart Ally Sheedy Kerry Cahill
3230,Alan Metter,Comedy Crime,police academy: mission to moscow,3.3,Christopher Lee Michael Winslow G.W. Bailey,Alan Metter Comedy Crime police academy: mission to moscow Christopher Lee Michael Winslow G.W. Bailey
3231,Jeb Stuart,Drama,blood done sign my name,6.7,Ricky Schroder Nate Parker Lee Norris,Jeb Stuart Drama blood done sign my name Ricky Schroder Nate Parker Lee Norris
3232,Rafa Lara,Drama History War,"cinco de mayo, la batalla",6.2,Jorge Luis Moreno Andrés Montiel William Miller,"Rafa Lara Drama History War cinco de mayo, la batalla Jorge Luis Moreno Andrés Montiel William Miller"
3233,Michael Radford,Comedy Drama Romance,elsa & fred,6.5,Chris Noth Jared Gilman James Brolin,Michael Radford Comedy Drama Romance elsa & fred Chris Noth Jared Gilman James Brolin
3234,Arthur Hiller,Comedy,an alan smithee film: burn hollywood burn,3.5,Eric Idle Harvey Weinstein Ryan O'Neal,Arthur Hiller Comedy an alan smithee film: burn hollywood burn Eric Idle Harvey Weinstein Ryan O'Neal
3235,Michael Meredith,Comedy Drama,the open road,5.5,Jeff Bridges Justin Timberlake Ted Danson,Michael Meredith Comedy Drama the open road Jeff Bridges Justin Timberlake Ted Danson
3236,Julio DePietro,Comedy Romance,the good guy,5.9,Adrian Martinez Scott Porter Aaron Yoo,Julio DePietro Comedy Romance the good guy Adrian Martinez Scott Porter Aaron Yoo
3237,Katherine Dieckmann,Comedy Drama,motherhood,4.7,Stephanie Szostak Minnie Driver Anthony Edwards,Katherine Dieckmann Comedy Drama motherhood Stephanie Szostak Minnie Driver Anthony Edwards
3238,William Dear,Drama,free style,4.2,Madison Pettis Corbin Bleu Sandra Echeverría,William Dear Drama free style Madison Pettis Corbin Bleu Sandra Echeverría
3239,Kim Farrant,Drama Mystery Thriller,strangerland,5.2,Nicholas Hamilton Reef Ireland Sean Keenan,Kim Farrant Drama Mystery Thriller strangerland Nicholas Hamilton Reef Ireland Sean Keenan
3240,Marcus Raboy,Comedy Crime Music,the janky promoters,5.2,Mike Epps Tamala Jones Glenn Plummer,Marcus Raboy Comedy Crime Music the janky promoters Mike Epps Tamala Jones Glenn Plummer
3241,Scott Marshall,Comedy Romance,blonde ambition,3.9,Drew Fuller Drew Waters Larry Miller,Scott Marshall Comedy Romance blonde ambition Drew Fuller Drew Waters Larry Miller
3242,Álex de la Iglesia,Crime Mystery Thriller,the oxford murders,6.1,Jim Carter Leonor Watling Danny Sapani,Álex de la Iglesia Crime Mystery Thriller the oxford murders Jim Carter Leonor Watling Danny Sapani
3243,Andrew Traucki,Horror Thriller,the reef,5.8,Damian Walshe-Howling Gyton Grantley Adrienne Pickering,Andrew Traucki Horror Thriller the reef Damian Walshe-Howling Gyton Grantley Adrienne Pickering
3244,Michael Clancy,Comedy Drama,eulogy,6.7,Zooey Deschanel Rip Torn Kelly Preston,Michael Clancy Comedy Drama eulogy Zooey Deschanel Rip Torn Kelly Preston
3245,Patrick Lussier,Drama Fantasy Horror Thriller,white noise 2: the light,5.7,Teryl Rothery Craig Fairbrass Adrian Holmes,Patrick Lussier Drama Fantasy Horror Thriller white noise 2: the light Teryl Rothery Craig Fairbrass Adrian Holmes
3246,Robert Adetuyi,Drama Music,you got served: beat the world,4.5,Shane Pollard Mishael Morgan Chase Armitage,Robert Adetuyi Drama Music you got served: beat the world Shane Pollard Mishael Morgan Chase Armitage
3247,Kari Skogland,Drama Thriller,fifty dead men walking,6.9,Jim Sturgess Kevin Zegers Michael McElhatton,Kari Skogland Drama Thriller fifty dead men walking Jim Sturgess Kevin Zegers Michael McElhatton
3248,Taedong Park,Adventure Animation,jungle shuffle,4.8,Drake Bell Tom Arnold Amanda Troop,Taedong Park Adventure Animation jungle shuffle Drake Bell Tom Arnold Amanda Troop
3249,Paul Schrader,Drama War,adam resurrected,6.3,Veronica Ferres Ayelet Zurer Derek Jacobi,Paul Schrader Drama War adam resurrected Veronica Ferres Ayelet Zurer Derek Jacobi
3250,Benedikt Erlingsson,Comedy Drama Romance,of horses and men,6.9,Ingvar Eggert Sigurðsson Charlotte Bøving Sigríður María Egilsdóttir,Benedikt Erlingsson Comedy Drama Romance of horses and men Ingvar Eggert Sigurðsson Charlotte Bøving Sigríður María Egilsdóttir
3251,Gurinder Chadha,Comedy Drama Horror Romance,it's a wonderful afterlife,5.4,Sendhil Ramamurthy Mark Addy Shabana Azmi,Gurinder Chadha Comedy Drama Horror Romance it's a wonderful afterlife Sendhil Ramamurthy Mark Addy Shabana Azmi
3252,Jason Connery,Action Horror Sci-Fi,the devil's tomb,3.8,Ray Winstone Henry Rollins Jason London,Jason Connery Action Horror Sci-Fi the devil's tomb Ray Winstone Henry Rollins Jason London
3253,Vic Sarin,Drama Romance,partition,7.0,Jimi Mistry Jesse Moss John Light,Vic Sarin Drama Romance partition Jimi Mistry Jesse Moss John Light
3254,Jim Issa,Comedy,good intentions,5.2,Elaine Hendrix Luke Perry Jon Gries,Jim Issa Comedy good intentions Elaine Hendrix Luke Perry Jon Gries
3255,Jee-woon Kim,Action Adventure Comedy Western,"the good, the bad, the weird",7.3,Kang-ho Song Woo-sung Jung Dal-su Oh,"Jee-woon Kim Action Adventure Comedy Western the good, the bad, the weird Kang-ho Song Woo-sung Jung Dal-su Oh"
3256,Douglas Aarniokoski,Horror Thriller,nurse 3d,4.6,Boris Kodjoe Katrina Bowden Kathleen Turner,Douglas Aarniokoski Horror Thriller nurse 3d Boris Kodjoe Katrina Bowden Kathleen Turner
3257,William Phillips,Action Comedy Drama Western,gunless,6.5,Tyler Mane Callum Rennie Dustin Milligan,William Phillips Action Comedy Drama Western gunless Tyler Mane Callum Rennie Dustin Milligan
3258,Greg Mottola,Comedy Drama Romance,adventureland,6.8,Kristen Stewart Martin Starr Wendie Malick,Greg Mottola Comedy Drama Romance adventureland Kristen Stewart Martin Starr Wendie Malick
3259,Andy Garcia,Drama Romance,the lost city,6.7,Danny Pino Victor Rivers Enrique Murciano,Andy Garcia Drama Romance the lost city Danny Pino Victor Rivers Enrique Murciano
3260,Steve Carr,Comedy,next friday,6.1,John Witherspoon Mike Epps Rolando Molina,Steve Carr Comedy next friday John Witherspoon Mike Epps Rolando Molina
3261,Sarik Andreasyan,Action Crime Drama Thriller,american heist,5.2,Hayden Christensen Jordana Brewster Akon,Sarik Andreasyan Action Crime Drama Thriller american heist Hayden Christensen Jordana Brewster Akon
3262,Lewis Gilbert,Action Adventure Thriller,you only live twice,6.9,Donald Pleasence Burt Kwouk Desmond Llewelyn,Lewis Gilbert Action Adventure Thriller you only live twice Donald Pleasence Burt Kwouk Desmond Llewelyn
3263,Julian Gilbey,Action Comedy Crime Drama,plastic,6.0,Mem Ferda Alfie Allen Malese Jow,Julian Gilbey Action Comedy Crime Drama plastic Mem Ferda Alfie Allen Malese Jow
3264,Michael Haneke,Drama Romance,amour,7.9,Isabelle Huppert Emmanuelle Riva Jean-Louis Trintignant,Michael Haneke Drama Romance amour Isabelle Huppert Emmanuelle Riva Jean-Louis Trintignant
3265,Gary Sherman,Horror Thriller,poltergeist iii,4.5,Tom Skerritt Heather O'Rourke Zelda Rubinstein,Gary Sherman Horror Thriller poltergeist iii Tom Skerritt Heather O'Rourke Zelda Rubinstein
3266,Valeri Milev,Action Horror,re-kill,5.1,Daniella Alonso Roger Cross Jesse Garcia,Valeri Milev Action Horror re-kill Daniella Alonso Roger Cross Jesse Garcia
3267,Stanley Kramer,Action Adventure Comedy Crime,"it's a mad, mad, mad, mad world",7.6,Jonathan Winters Sid Caesar Spencer Tracy,"Stanley Kramer Action Adventure Comedy Crime it's a mad, mad, mad, mad world Jonathan Winters Sid Caesar Spencer Tracy"
3268,Pedro Almodóvar,Comedy Crime Drama Mystery,volver,7.6,Carmen Maura Lola Dueñas Antonio de la Torre,Pedro Almodóvar Comedy Crime Drama Mystery volver Carmen Maura Lola Dueñas Antonio de la Torre
